id,name
253 "Brandes, U"
254 "Breiger, R"
255 "Boorman, S"
256 "Arabie, P"
257 "Bressler, S"
258 "Brin, S"
259 "Page, L"
260 "Broadbent, S"
261 "Hammersley, J"
262 "Broder, A"
263 "Kumar, R"
264 "Maghoul, F"
265 "Raghavan, P"
266 "Rajagopalan, S"
267 "Stata, R"
268 "Tomkins, A"
269 "Wiener, J"
270 "Broida, A"
271 "Claffy, K"
272 "Buchanan, M"
273 "Buchel, C"
274 "Coull, J"
275 "Friston, K"
276 "Bucolo, M"
277 "Fortuna, L"
278 "Larosa, M"
279 "Buhl, J"
280 "Gautrais, J"
281 "Sole, R"
282 "Kuntz, P"
283 "Valverde, S"
284 "Deneubourg, J"
285 "Theraulaz, G"
286 "Burda, Z"
287 "Correia, J"
288 "Krzywicki, A"
289 "Jurkiewicz, J"
290 "Burioni, R"
291 "Cassi, D"
292 "Vezzani, A"
293 "Burns, G"
294 "Young, M"
295 "Burt, R"
296 "Buzsaki, G"
297 "Chrobak, J"
298 "Geisler, C"
299 "Henze, D"
300 "Wang, X"
301 "Caldarelli, G"
302 "Delosrios, P"
303 "Munoz, M"
304 "Coccetti, F"
305 "Callaway, D"
306 "Hopcroft, J"
307 "Kleinberg, J"
308 "Strogatz, S"
309 "Watts, D"
310 "Camacho, J"
311 "Campbell, N"
312 "Reece, J"
313 "Campbell, S"
314 "Wang, D"
315 "Jayaprakash, C"
316 "Servedio, V"
317 "Colaiori, F"
318 "Carlson, J"
319 "Doyle, J"
320 "Carreras, B"
321 "Lynch, V"
322 "Dobson, I"
323 "Newman, D"
324 "Dolrou, I"
325 "Poole, A"
326 "Caruso, F"
327 "Latora, V"
328 "Rapisarda, A"
329 "Tadic, B"
330 "Castellano, C"
331 "Vilone, D"
332 "Catania, J"
333 "Coates, T"
334 "Kegels, S"
335 "Fullilove, M"
336 "Challet, D"
337 "Zhang, Y"
338 "Chan, D"
339 "Hughes, B"
340 "Leong, A"
341 "Reed, W"
342 "Chate, H"
343 "Pikovsky, A"
344 "Rudzick, O"
345 "Chavez, M"
346 "Hwang, D"
347 "Amann, A"
348 "Chen, Q"
349 "Chang, H"
350 "Govindan, R"
351 "Jamin, S"
352 "Shenker, S"
353 "Willinger, W"
354 "Chen, Y"
355 "Rangarajan, G"
356 "Ding, M"
357 "Cherniak, C"
358 "Changizi, M"
359 "Kang, D"
360 "Mokhtarzada, Z"
361 "Rodriguezesteban, R"
362 "Chklovskii, D"
363 "Koulakov, A"
364 "Mel, B"
365 "Svoboda, K"
366 "Chowell, G"
367 "Hyman, J"
368 "Eubank, S"
369 "Vu, V"
370 "Clauset, A"
371 "Moore, C"
372 "Cohen, J"
373 "Briand, F"
374 "Newman, C"
375 "Cohen, R"
376 "Benavraham, D"
377 "Havlin, S"
378 "Erez, K"
379 "Connor, R"
380 "Heithaus, M"
381 "Barre, L"
382 "Coppersmith, S"
383 "Kadanoff, L"
384 "Zhang, Z"
385 "Cordes, D"
386 "Haughton, V"
387 "Arfanakis, K"
388 "Carew, J"
389 "Turski, P"
390 "Moritz, C"
391 "Quigley, M"
392 "Meyerand, M"
393 "Corman, S"
394 "Kuhn, T"
395 "Mcphee, R"
396 "Dooley, K"
397 "Cormen, T"
398 "Leiserson, C"
399 "Rivest, R"
400 "Stein, C"
401 "Cosenza, S"
402 "Crucitti, P"
403 "Frasca, M"
404 "Stagni, C"
405 "Usai, L"
406 "Coulumb, S"
407 "Crane, D"
408 "Criado, R"
409 "Flores, J"
410 "Hernandezbermejo, B"
411 "Pello, J"
412 "Romance, M"
413 "Garciadelamo, A"
414 "Crick, F"
415 "Koch, C"
416 "Marchiori, M"
417 "Porta, S"
418 "Csanyi, G"
419 "Szendroi, B"
420 "Csermely, P"
421 "Csete, M"
422 "Cunha, C"
423 "Bestavros, A"
424 "Crovella, M"
425 "Cvetkovic, D"
426 "Doob, M"
427 "Sachs, H"
428 "Dafontouracosta, L"
429 "Diambra, L"
430 "Daley, D"
431 "Gani, J"
432 "Kendall, D"
433 "Dall, J"
434 "Christensen, M"
435 "Davidsen, J"
436 "Davis, A"
437 "Gardner, B"
438 "Gardner, M"
439 "Davis, G"
440 "Greve, H"
441 "Yoo, M"
442 "Dearcangelis, L"
443 "Herrmann, H"
444 "Decastro, R"
445 "Grossman, J"
446 "Deffuant, G"
447 "Neau, D"
448 "Amblard, F"
449 "Weisbuch, G"
450 "Defraysseix, H"
451 "Degroot, M"
452 "Delimaesilva, D"
453 "Medeirossoares, M"
454 "Henriques, M"
455 "Schivanialves, M"
456 "Deaguilar, S"
457 "Decarvalho, T"
458 "Corso, G"
459 "Lucena, L"
460 "Delucia, M"
461 "Bottaccio, M"
462 "Montuori, M"
463 "Pietronero, L"
464 "Demenezes, M"
465 "Moukarzel, C"
466 "Penna, T"
467 "Demers, A"
468 "Greene, D"
469 "Hauser, C"
470 "Irish, W"
471 "Larson, J"
472 "Demoura, A"
473 "Motter, A"
474 "Grebogi, C"
475 "Derrida, B"
476 "Flyvbjerg, H"
477 "Gardner, E"
478 "Zippelius, A"
479 "Deshazer, D"
480 "Breban, R"
481 "Ott, E"
482 "Roy, R"
483 "Destexhe, A"
484 "Marder, E"
485 "Dezso, Z"
486 "Diekmann, O"
487 "Heesterbeek, J"
488 "Dobrin, R"
489 "Beg, Q"
490 "Dodds, P"
491 "Muhamad, R"
492 "Rothman, D"
493 "Sabel, C"
494 "Dodel, S"
495 "Herrmann, J"
496 "Geisel, T"
497 "Donath, W"
498 "Hoffman, A"
499 "Donetti, L"
500 "Dorogovtsev, S"
501 "Goltsev, A"
502 "Mendes, J"
503 "Samukhin, A"
504 "Doye, J"
505 "Du, D"
506 "Gu, J"
507 "Dunne, J"
508 "Williams, R"
509 "Martinez, N"
510 "Durrett, R"
511 "Eames, K"
512 "Keeling, M"
513 "Mielsch, L"
514 "Echenique, P"
515 "Gomezgardenes, J"
516 "Moreno, Y"
517 "Vazquez, A"
518 "Eckmann, J"
519 "Moses, E"
520 "Egghe, L"
521 "Rousseau, R"
522 "Eguiluz, V"
523 "Chialvo, D"
524 "Cecchi, G"
525 "Baliki, M"
526 "Apkarian, A"
527 "Klemm, K"
528 "Eigen, M"
529 "Schuster, P"
530 "Eisenberg, D"
531 "Marcotte, E"
532 "Xenarios, I"
533 "Yeates, T"
534 "Eisenberg, E"
535 "Levanon, E"
536 "Eldar, A"
537 "Engel, A"
538 "Fries, P"
539 "Singer, W"
540 "Moll, C"
541 "Fried, I"
542 "Ojemann, G"
543 "Ennis, J"
544 "Erdos, P"
545 "Renyi, A"
546 "Ergun, G"
547 "Rodgers, G"
548 "Eriksen, K"
549 "Simonsen, I"
550 "Maslov, S"
551 "Everitt, B"
552 "Fabrikant, A"
553 "Koutsoupias, E"
554 "Papadimitriou, C"
555 "Falconer, K"
556 "Faloutsos, M"
557 "Faloutsos, P"
558 "Faloutsos, C"
559 "Fararo, T"
560 "Sunshine, M"
561 "Farkas, I"
562 "Derenyi, I"
563 "Faust, K"
564 "Willert, K"
565 "Rowlee, D"
566 "Skvoretz, J"
567 "Fell, D"
568 "Felleman, D"
569 "Vanessen, D"
570 "Femat, R"
571 "Solisperales, G"
572 "Ferguson, N"
573 "Garnett, G"
574 "Ferrericancho, R"
575 "Janssen, C"
576 "Kohler, R"
577 "Fiduccia, C"
578 "Mattheyses, R"
579 "Fiedler, M"
580 "Filatrella, G"
581 "Straughn, B"
582 "Barbara, P"
583 "Fingelkurts, A"
584 "Kahkonen, S"
585 "Fink, K"
586 "Johnson, G"
587 "Carroll, T"
588 "Fitzhugh, R"
589 "Flake, G"
590 "Lawrence, S"
591 "Giles, C"
592 "Coetzee, F"
593 "Fontes, L"
594 "Schonmann, R"
595 "Spata, A"
596 "Fortunato, S"
597 "Foster, I"
598 "Kesselman, C"
599 "Fox, J"
600 "Hill, C"
601 "Frank, L"
602 "Frank, O"
603 "Strauss, D"
604 "Freeman, L"
605 "French, J"
606 "Frith, C"
607 "Liddle, P"
608 "Frackowiak, R"
609 "Fronczak, A"
610 "Fronczak, P"
611 "Jedynak, M"
612 "Sienkiewicz, J"
613 "Fu, C"
614 "Fujisaka, H"
615 "Yamada, T"
616 "Gade, P"
617 "Hu, C"
618 "Gafiychuk, V"
619 "Lubashevsky, I"
620 "Stosyk, A"
621 "Galaskiewicz, J"
622 "Marsden, P"
623 "Galstyan, A"
624 "Lerman, K"
625 "Gammaitoni, L"
626 "Hanggi, P"
627 "Jung, P"
628 "Marchesoni, F"
629 "Gao, Z"
630 "Hu, B"
631 "Hu, G"
632 "Garey, M"
633 "Johnson, D"
634 "Garfield, E"
635 "Garfinkel, I"
636 "Glei, D"
637 "Mclanahan, S"
638 "Garlaschelli, D"
639 "Castri, M"
640 "Loffredo, M"
641 "Gastner, M"
642 "Gauthier, D"
643 "Bienfang, J"
644 "Gerschgorin, S"
645 "Giot, L"
646 "Girvan, M"
647 "Glanz, J"
648 "Perezpena, R"
649 "Glass, L"
650 "Gleiss, P"
651 "Stadler, P"
652 "Goh, K"
653 "Ghim, C"
654 "Kahng, B"
655 "Kim, D"
656 "Lee, D"
657 "Oh, E"
658 "Goldberg, D"
659 "Nichols, D"
660 "Oki, B"
661 "Terry, D"
662 "Goldbeter, A"
663 "Gonze, D"
664 "Houart, G"
665 "Leloup, J"
666 "Dupont, G"
667 "Goldwasser, L"
668 "Roughgarden, J"
669 "Golomb, D"
670 "Hansel, D"
671 "Rinzel, J"
672 "Golub, G"
673 "Vanloan, C"
674 "Floria, L"
675 "Gonzales, M"
676 "Sousa, A"
677 "Hally, J"
678 "Goodhill, A"
679 "Simmen, M"
680 "Willshaw, D"
681 "Goodman, M"
682 "Hall, D"
683 "Avery, L"
684 "Lockery, S"
685 "Gorman, S"
686 "Tangmunarunkit, H"
687 "Granovetter, M"
688 "Grassberger, P"
689 "Gray, C"
690 "Konig, P"
691 "Greenhalgh, D"
692 "Gregoire, G"
693 "Gross, J"
694 "Kujala, J"
695 "Hamalainen, M"
696 "Timmermann, L"
697 "Schnitzler, A"
698 "Salmelin, R"
699 "Ion, P"
700 "Guardiola, X"
701 "Llas, M"
702 "Perez, C"
703 "Guare, J"
704 "Guelzim, N"
705 "Bottani, S"
706 "Bourgine, P"
707 "Kepes, F"
708 "Giralt, F"
709 "Mossa, S"
710 "Turtschi, A"
711 "Gupta, S"
712 "Hall, G"
713 "Bahar, S"
714 "Hall, K"
715 "Hari, R"
716 "Ilmoniemi, R"
717 "Knuutila, J"
718 "Lounasmaa, O"
719 "Handcock, M"
720 "Jones, J"
721 "Sompolinsky, H"
722 "Harary, F"
723 "Harwell, L"
724 "Hopfield, J"
725 "Leibler, S"
726 "Murray, A"
727 "Hayes, B"
728 "Haynie, D"
729 "Heagy, J"
730 "Hegselmann, R"
731 "Krause, U"
732 "He, M"
733 "Xu, H"
734 "Sun, Q"
735 "Herrero, C"
736 "Herrmann, C"
737 "Provero, P"
738 "Hong, D"
739 "Roux, S"
740 "Hethcote, H"
741 "Higham, D"
742 "Hilgetag, C"
743 "Oneill, M"
744 "Scannell, J"
745 "Grant, A"
746 "Kaiser, M"
747 "Hillier, B"
748 "Hanson, J"
749 "Hirsch, J"
750 "Hodgkin, A"
751 "Huxley, A"
752 "Hoff, P"
753 "Raftery, A"
754 "Holland, P"
755 "Leinhardt, S"
756 "Holme, P"
757 "Edling, C"
758 "Liljeros, F"
759 "Ghoshal, G"
760 "Huss, M"
761 "Kim, B"
762 "Yoon, C"
763 "Han, S"
764 "Trusina, A"
765 "Minnhagen, P"
766 "Holmgren, C"
767 "Harkany, T"
768 "Svennenfors, B"
769 "Zilberter, Y"
770 "Holter, N"
771 "Mitra, M"
772 "Cieplak, M"
773 "Fedroff, N"
774 "Hong, H"
775 "Choi, M"
776 "Park, H"
777 "Horn, N"
778 "Ruppin, E"
779 "Horwitz, B"
780 "Hufnagel, L"
781 "Brockmann, D"
782 "Hugenii, C"
783 "Yang, J"
784 "Liu, W"
785 "Huxham, M"
786 "Beaney, S"
787 "Raffaelli, D"
788 "Lopezruiz, R"
789 "Iamnitchi, A"
790 "Ripeanu, M"
791 "Ichinomiya, T"
792 "Igoshin, O"
793 "Kaiser, D"
794 "Oster, G"
795 "Ihmels, J"
796 "Friedlander, G"
797 "Bergmann, S"
798 "Ofersarig, Y"
799 "Ito, T"
800 "Chiba, T"
801 "Ozawa, R"
802 "Yoshida, M"
803 "Hattori, M"
804 "Sakaki, Y"
805 "Itzkovitz, S"
806 "Milo, R"
807 "Kashtan, N"
808 "Ziv, G"
809 "Jacob, F"
810 "Monod, J"
811 "Jacobson, V"
812 "Jaffe, A"
813 "Trajtenberg, M"
814 "Jain, A"
815 "Murty, M"
816 "Flynn, P"
817 "Jain, S"
818 "Krishna, S"
819 "Jalan, S"
820 "Amritkar, R"
821 "Jankowski, S"
822 "Londei, A"
823 "Mazur, C"
824 "Lozowski, A"
825 "Jansen, R"
826 "Yu, H"
827 "Greenbaum, D"
828 "Kluger, Y"
829 "Krogan, N"
830 "Chung, S"
831 "Emili, A"
832 "Snyder, M"
833 "Greenblatt, J"
834 "Gerstein, M"
835 "Janson, S"
836 "Luczak, T"
837 "Rucinski, A"
838 "Jensen, H"
839 "Mason, S"
840 "Tombor, B"
841 "Jespersen, S"
842 "Blumen, A"
843 "Sokolov, I"
844 "Jia, L"
845 "Sano, M"
846 "Lai, P"
847 "Chan, C"
848 "Jiang, B"
849 "Claramunt, C"
850 "Jiang, Y"
851 "Lozadacassou, M"
852 "Vinet, A"
853 "Jin, E"
854 "Johnson, S"
855 "Jordano, P"
856 "Bascompte, J"
857 "Olesen, J"
858 "Josic, K"
859 "Joy, M"
860 "Jouve, B"
861 "Rosentiehl, P"
862 "Imbert, M"
863 "Jung, S"
864 "Kim, S"
865 "Park, Y"
866 "Kalapala, V"
867 "Sanwalani, V"
868 "Kaneko, K"
869 "Karbowski, J"
870 "Karev, G"
871 "Wolf, Y"
872 "Rzhetsky, A"
873 "Berezovskaya, F"
874 "Koonin, E"
875 "Karinthy, F"
876 "Karonski, M"
877 "Karp, P"
878 "Riley, M"
879 "Paley, S"
880 "Pellegrinitoole, A"
881 "Krummenacker, M"
882 "Kauffman, S"
883 "Kautz, H"
884 "Selman, B"
885 "Shah, M"
886 "Kephart, J"
887 "White, S"
888 "Kermarrec, A"
889 "Ganesh, A"
890 "Massoulie, L"
891 "Kernighan, B"
892 "Chung, J"
893 "Kim, J"
894 "Kinney, R"
895 "Kinouchi, O"
896 "Martinez, A"
897 "Lima, G"
898 "Lourenc, G"
899 "Risaugusman, S"
900 "Kirkpatrick, S"
901 "Gelatt, C"
902 "Vecchi, M"
903 "Kiss, I"
904 "Zhai, Y"
905 "Hudson, J"
906 "Kleczkowski, A"
907 "Grenfell, B"
908 "Kumar, S"
909 "Klevecz, R"
910 "Bolen, J"
911 "Duran, O"
912 "Klovdahl, A"
913 "Potterat, J"
914 "Woodhouse, D"
915 "Muth, J"
916 "Muth, S"
917 "Darrow, W"
918 "Klyachko, V"
919 "Knuth, D"
920 "Kocarev, L"
921 "Parlitz, U"
922 "Laurent, G"
923 "Koch, M"
924 "Norris, D"
925 "Hundgeorgiadis, M"
926 "Paturi, R"
927 "Ermentrout, B"
928 "Kor, J"
929 "Korte, C"
930 "Milgram, S"
931 "Kotter, R"
932 "Stephan, K"
933 "Sommer, F"
934 "Leyvraz, F"
935 "Krause, A"
936 "Frank, K"
937 "Mason, D"
938 "Taylor, W"
939 "Krebs, V"
940 "Kree, R"
941 "Kretzschmar, M"
942 "Vanduynhoven, Y"
943 "Severijnen, A"
944 "Sivakumar, D"
945 "Upfal, E"
946 "Zanette, D"
947 "Kuramoto, Y"
948 "Nakao, H"
949 "Kwon, O"
950 "Moon, H"
951 "Lagofernandez, L"
952 "Corbacho, F"
953 "Huerta, R"
954 "Siguenza, J"
955 "Lahtinen, J"
956 "Kaski, K"
957 "Lawniczak, A"
958 "Maxie, K"
959 "Gerisch, A"
960 "Lee, L"
961 "Harrison, L"
962 "Mechelli, A"
963 "Leone, M"
964 "Zecchina, R"
965 "Levanquyen, M"
966 "Quilichini, P"
967 "Bernard, C"
968 "Esclapez, M"
969 "Benari, Y"
970 "Gozlan, H"
971 "Levin, S"
972 "Li, C"
973 "Chen, G"
974 "Lieberman, E"
975 "Hauert, C"
976 "Nowak, M"
977 "Aberg, Y"
978 "Li, R"
979 "Erneux, T"
980 "Li, S"
981 "Wand, H"
982 "Ouyang, Q"
983 "Liu, Z"
984 "Lai, Y"
985 "Hoppensteadt, F"
986 "Ye, N"
987 "Li, W"
988 "Cai, X"
989 "Li, X"
990 "Llinas, R"
991 "Lloyd, A"
992 "Lockhart, D"
993 "Winzeler, E"
994 "Logothetis, N"
995 "Pauls, J"
996 "Augath, M"
997 "Trinath, T"
998 "Oeltermann, A"
999 "Lorrain, F"
1000 "White, H"
1001 "Lotka, A"
1002 "Lu, J"
1003 "Yu, X"
1004 "Chen, D"
1005 "Lusseau, D"
1006 "Lu, W"
1007 "Chen, T"
1008 "Macdonald, P"
1009 "Macgraw, P"
1010 "Menzinger, M"
1011 "Mahadevan, R"
1012 "Palsson, B"
1013 "Ma, H"
1014 "Zeng, A"
1015 "Majorana, E"
1016 "Mangan, S"
1017 "Manna, S"
1018 "Sen, P"
1019 "Mari, C"
1020 "Mariolis, P"
1021 "Rigon, R"
1022 "Giacometti, A"
1023 "Rodrigueziturbe, I"
1024 "Marodi, M"
1025 "Dovidio, F"
1026 "Marro, J"
1027 "Dickman, R"
1028 "Martin, R"
1029 "Andras, P"
1030 "Zaliznyak, A"
1031 "Masoller, C"
1032 "Marti, A"
1033 "Massunaga, M"
1034 "Bahiana, M"
1035 "Masuda, N"
1036 "Aihara, K"
1037 "Miwa, H"
1038 "Konno, N"
1039 "Matthews, P"
1040 "Mirollo, R"
1041 "Vallone, A"
1042 "Mccann, K"
1043 "Hastings, A"
1044 "Huxel, G"
1045 "Mcgraw, P"
1046 "Meester, R"
1047 "Mehring, C"
1048 "Hehl, U"
1049 "Kubo, M"
1050 "Diesmann, M"
1051 "Mehta, M"
1052 "Melin, G"
1053 "Persson, O"
1054 "Menczer, F"
1055 "Belew, R"
1056 "Pant, G"
1057 "Ruiz, M"
1058 "Srinivasan, P"
1059 "Merton, R"
1060 "Mewes, H"
1061 "Frishman, D"
1062 "Guldener, U"
1063 "Mannhaupt, G"
1064 "Mayer, K"
1065 "Mokrejs, M"
1066 "Morgenstern, B"
1067 "Munsterkotter, M"
1068 "Rudd, S"
1069 "Weil, B"
1070 "Levitt, R"
1071 "Shenorr, S"
1072 "Ayzenshtat, I"
1073 "Sheffer, M"
1074 "Levy, W"
1075 "Mitchell, M"
1076 "Mizruchi, M"
1077 "Mohar, B"
1078 "Molloy, M"
1079 "Reed, B"
1080 "Monasson, R"
1081 "Montoya, J"
1082 "Moreira, A"
1083 "Andrade, J"
1084 "Morelli, L"
1085 "Moreno, J"
1086 "Gomez, J"
1087 "Pacheco, A"
1088 "Nekovee, M"
1089 "Vazquezprada, M"
1090 "Morris, M"
1091 "Dasgupta, P"
1092 "Nishikawa, T"
1093 "Mrowka, R"
1094 "Patzak, A"
1095 "Herzel, H"
1096 "Holste, D"
1097 "Muller, J"
1098 "Schonfisch, B"
1099 "Kirkilionis, M"
1100 "Murray, J"
1101 "Nagumo, J"
1102 "Arimoto, S"
1103 "Yoshizawa, S"
1104 "Nakamura, I"
1105 "Neiman, A"
1106 "Pei, X"
1107 "Russell, D"
1108 "Wojtenek, W"
1109 "Wilkens, L"
1110 "Moss, F"
1111 "Braun, H"
1112 "Huber, M"
1113 "Voigt, K"
1114 "Nemeth, G"
1115 "Vattay, G"
1116 "Netoff, T"
1117 "Clewley, R"
1118 "Arno, S"
1119 "Keck, T"
1120 "White, J"
1121 "Forrest, S"
1122 "Balthrop, J"
1123 "Leicht, E"
1124 "Niebur, E"
1125 "Kammen, D"
1126 "Nieminen, J"
1127 "Noh, J"
1128 "Rieger, H"
1129 "Sigmund, K"
1130 "Rho, K"
1131 "Ohira, T"
1132 "Sawatari, R"
1133 "Okane, D"
1134 "Treves, A"
1135 "Onnela, J"
1136 "Chakraborti, A"
1137 "Kanto, A"
1138 "Jarisaramaki, J"
1139 "Onody, R"
1140 "Decastro, P"
1141 "Oosawa, C"
1142 "Savageau, M"
1143 "Oram, A"
1144 "Osborne, M"
1145 "Rosenblum, M"
1146 "Otsuka, K"
1147 "Kawai, R"
1148 "Hwong, S"
1149 "Ko, J"
1150 "Chern, J"
1151 "Overbay, T"
1152 "Overbeek, R"
1153 "Larsen, N"
1154 "Pusch, G"
1155 "Dsouza, M"
1156 "Selkovjr, E"
1157 "Kyrpides, N"
1158 "Fonstein, M"
1159 "Maltsev, N"
1160 "Selkov, E"
1161 "Ozana, M"
1162 "Bassler, K"
1163 "Corral, A"
1164 "Padgett, J"
1165 "Ansell, C"
1166 "Motwani, R"
1167 "Winograd, T"
1168 "Pandey, A"
1169 "Mann, M"
1170 "Pandit, S"
1171 "Pandya, R"
1172 "Park, J"
1173 "Parmananda, P"
1174 "Pasemann, F"
1175 "Passingham, R"
1176 "Sthepan, K"
1177 "Rubi, M"
1178 "Smith, E"
1179 "Pekalski, A"
1180 "Pennock, D"
1181 "Glover, E"
1182 "Petermannn, T"
1183 "Pimm, S"
1184 "Pinto, S"
1185 "Lopes, S"
1186 "Viana, R"
1187 "Piot, P"
1188 "Pitts, F"
1189 "Pluchino, A"
1190 "Podani, J"
1191 "Szathmary, E"
1192 "Polis, G"
1193 "Pool, I"
1194 "Kochen, M"
1195 "Porter, M"
1196 "Mucha, P"
1197 "Warmbrand, C"
1198 "Pothen, A"
1199 "Simon, H"
1200 "Liou, K"
1201 "Rothenberg, R"
1202 "Zimmermanroger, H"
1203 "Green, D"
1204 "Taylor, J"
1205 "Bonney, M"
1206 "Phillipsplummer, L"
1207 "Maldonadolong, T"
1208 "Zimmerman, H"
1209 "Powell, W"
1210 "White, D"
1211 "Koput, K"
1212 "Owensmith, J"
1213 "Price, D"
1214 "Radicchi, F"
1215 "Cecconi, F"
1216 "Loreto, V"
1217 "Parisi, D"
