city_O,city_D
"Philadelphia","Atlanta"
"Detroit","Phoenix"
"Charlotte","Atlanta"
"Atlanta","Phoenix"
"Atlanta","Philadelphia"
"Atlanta","Charlotte"
"Tulsa","Denver"
"Santa Ana","San Francisco"
"Sacramento","Chicago"
"Salt Lake City","San Francisco"
"Salt Lake City","Washington"
"San Jose","Houston"
"San Francisco","Santa Ana"
"San Francisco","Salt Lake City"
"San Francisco","Phoenix"
"San Francisco","Orlando"
"San Francisco","Kansas City"
"San Francisco","Washington"
"Reno","Denver"
"Providence","Chicago"
"Providence","Washington"
"Pittsburgh (pennsylva)","Washington"
"Pittsburgh (pennsylva)","Denver"
"Phoenix","San Francisco"
"Phoenix","Newark"
"Portland","Washington"
"Portland","Newark"
"Chicago","Sacramento"
"Chicago","Providence"
"Chicago","Manchester NH"
"Chicago","Greenville"
"Chicago","Birmingham"
"Ontario","Denver"
"Oakland","Denver"
"New Orleans","Washington"
"Madison","Denver"
"Molokai","Lahania-kapalua"
"Manchester NH","Chicago"
"Memphis","Denver"
"Orlando","San Francisco"
"Kansas City","San Francisco"
"Kansas City","Washington"
"Los Angeles","San Antonio"
"Los Angeles","Baltimore"
"Lahania-kapalua","Honolulu"
"Indianapolis","Washington"
"Indianapolis","Denver"
"Wichita","Denver"
"Houston","San Jose"
"Washington","Salt Lake City"
"Washington","San Francisco"
"Washington","Providence"
"Washington","New Orleans"
"Washington","Kansas City"
"Washington","Las Vegas"
"Washington","Indianapolis"
"Washington","Cincinnati"
"Washington","Charlotte"
"Washington","Windsor Locks"
"Hayden","Denver"
"Greenville","Chicago"
"Gillette","Denver"
"Sioux Falls","Denver"
"Fort Lauderdale","Denver"
"Newark","Phoenix"
"Newark","Portland"
"Newark","Denver"
"Des Moines","Denver"
"Denver","Tulsa"
"Denver","Reno"
"Denver","Pittsburgh (pennsylva)"
"Denver","Ontario"
"Denver","Oakland"
"Denver","Madison"
"Denver","Memphis"
"Denver","Indianapolis"
"Denver","Wichita"
"Denver","Hayden"
"Denver","Gillette"
"Denver","Sioux Falls"
"Denver","Fort Lauderdale"
"Denver","Newark"
"Denver","Des Moines"
"Denver","Colorado Springs"
"Denver","Columbus"
"Denver","Bozeman"
"Denver","Baltimore"
"Denver","Boise"
"Denver","Nashville"
"Denver","Billings"
"Cincinnati","Washington"
"Colorado Springs","Denver"
"Columbus","Washington"
"Columbus","Denver"
"Charlotte","Washington"
"Bozeman","Denver"
"Baltimore","Los Angeles"
"Baltimore","Denver"
"Boise","Denver"
"Nashville","Denver"
"Billings","Denver"
"Birmingham","Chicago"
"Tampa","Houston"
"San Francisco","Houston"
"San Antonio","Houston"
"New Orleans","Houston"
"Minneapolis","Houston"
"Orlando","Houston"
"Las Vegas","Houston"
"Houston","Tampa"
"Houston","Salt Lake City"
"Houston","San Francisco"
"Houston","San Antonio"
"Houston","San Diego"
"Houston","New Orleans"
"Houston","Orlando"
"Houston","Las Vegas"
"Houston","Fort Lauderdale"
"Houston","Newark"
"Houston","Baltimore"
"Houston","Austin"
"Fort Lauderdale","Houston"
"Newark","Houston"
"Detroit","Houston"
"Austin","Houston"
"San Francisco","Austin"
"Phoenix","Boston"
"New York","Burlington"
"Fort Lauderdale","Washington"
"Newark","Boston"
"Washington","Fort Lauderdale"
"Burlington","New York"
"Boston","Phoenix"
"Boston","Newark"
"Austin","San Francisco"
"Seattle","Honolulu"
"Seattle","Washington"
"Redmond-Bend","Portland"
"Portland","Redmond-Bend"
"Portland","Las Vegas"
"Kansas City","Los Angeles"
"Los Angeles","Minneapolis"
"Los Angeles","Kansas City"
"Las Vegas","Portland"
"Washington","Seattle"
"Anchorage","Seattle"
"Bentonville","Chicago"
"Traverse City","Chicago"
"Tulsa","Chicago"
"Tampa","New York"
"Syracuse","Chicago"
"San Jose","Portland"
"Seattle","New York"
"Seattle","Newark"
"Richmond","Chicago"
"Pittsburgh (pennsylva)","New York"
"Peoria","Chicago"
"Portland","San Jose"
"Portland","Oakland"
"Chicago","Bentonville"
"Chicago","Traverse City"
"Chicago","Tulsa"
"Chicago","Syracuse"
"Chicago","Richmond"
"Chicago","Peoria"
"Chicago","Oklahoma City"
"Chicago","Madison"
"Chicago","Moline"
"Chicago","Milwaukee"
"Chicago","Miami"
"Chicago","Harrisburg"
"Chicago","Little Rock"
"Chicago","Jacksonville"
"Chicago","Wichita"
"Chicago","Honolulu"
"Chicago","Grand Rapids"
"Chicago","Green Bay"
"Chicago","Fort Wayne"
"Chicago","Sioux Falls"
"Chicago","Fargo"
"Chicago","Des Moines"
"Chicago","Dayton"
"Chicago","Charlotte"
"Chicago","Cedar Rapids"
"Oklahoma City","Chicago"
"Oakland","Portland"
"Minneapolis","New York"
"Madison","Chicago"
"Moline","Chicago"
"Milwaukee","Chicago"
"Miami","Los Angeles"
"Miami","Newark"
"Miami","Washington"
"Harrisburg","Chicago"
"Little Rock","Chicago"
"New York","Minneapolis"
"New York","Detroit"
"New York","Atlanta"
"Los Angeles","Salt Lake City"
"Los Angeles","Fort Lauderdale"
"Los Angeles","Boise"
"Los Angeles","Aspen"
"Las Vegas","New York"
"New York","Tampa"
"New York","Seattle"
"New York","Pittsburgh (pennsylva)"
"New York","Las Vegas"
"New York","Dallas-fort Worth"
"New York","Nashville"
"Jacksonville","Chicago"
"Wichita","Chicago"
"Honolulu","Chicago"
"Grand Rapids","Chicago"
"Green Bay","Chicago"
"Fort Wayne","Chicago"
"Sioux Falls","Chicago"
"Fort Lauderdale","Los Angeles"
"Fargo","Chicago"
"Newark","Seattle"
"Newark","Miami"
"Detroit","New York"
"Des Moines","Chicago"
"Dallas-fort Worth","Minneapolis"
"Dallas-fort Worth","Charlotte"
"Washington","Raleigh-durham"
"Washington","Nashville"
"Dayton","Chicago"
"Charlotte","Chicago"
"Cleveland","Dallas-fort Worth"
"Cedar Rapids","Chicago"
"Boise","Los Angeles"
"Nashville","New York"
"Nashville","Washington"
"Atlanta","New York"
"Aspen","Los Angeles"
"Fairbanks","Fort Yukon"
"Chicago","Burlington"
"Burlington","Chicago"
"Tampa","Philadelphia"
"St. Louis","Phoenix"
"San Antonio","Los Angeles"
"Fort Myers","Philadelphia"
"Raleigh-durham","Philadelphia"
"Pittsburgh (pennsylva)","Phoenix"
"Phoenix","St. Louis"
"Phoenix","Pittsburgh (pennsylva)"
"Phoenix","Philadelphia"
"Phoenix","Fort Lauderdale"
"Phoenix","Baltimore"
"Philadelphia","Tampa"
"Philadelphia","Fort Myers"
"Philadelphia","Raleigh-durham"
"Philadelphia","Phoenix"
"Philadelphia","West Palm Beach"
"Philadelphia","Las Vegas"
"Philadelphia","Fort Lauderdale"
"Greenville","Charlotte"
"West Palm Beach","Philadelphia"
"Las Vegas","Philadelphia"
"Fort Lauderdale","Phoenix"
"Fort Lauderdale","Philadelphia"
"Charlotte","Greenville"
"Charlotte","Charleston"
"Charleston","Charlotte"
"Baltimore","Phoenix"
"Phoenix","Honolulu"
"Molokai","Lanai"
"Kona","Honolulu"
"Hilo","Honolulu"
"Honolulu","Phoenix"
"Honolulu","Kona"
"Honolulu","Hilo"
"San Antonio","Phoenix"
"Orlando","Charlotte"
"Charlotte","Orlando"
"Charlotte","Baltimore"
"Baltimore","Charlotte"
"Worland","Laramie"
"Visalia","Merced"
"Vernal","Moab"
"Show Low","Phoenix"
"Show Low","Farmington"
"Pueblo Memorial","Liberal"
"Pueblo Memorial","Denver"
"Prescott","Los Angeles"
"Prescott","Farmington"
"Pierre","Huron"
"Pierre","Denver"
"Phoenix","Show Low"
"Milwaukee","Orlando"
"Milwaukee","Las Vegas"
"Milwaukee","Fort Lauderdale"
"Orlando","Milwaukee"
"McCook","Kearney"
"McCook","Denver"
"Liberal","Pueblo Memorial"
"Los Angeles","Prescott"
"Las Vegas","Milwaukee"
"Laramie","Worland"
"Laramie","Denver"
"Williston","Gillette"
"Hays","Denver"
"Huron","Pierre"
"Garden City","Denver"
"Garden City","Dodge City"
"Gillette","Williston"
"Farmington","Show Low"
"Farmington","Prescott"
"Farmington","Denver"
"Fort Lauderdale","Milwaukee"
"Kearney","McCook"
"Denver","Pueblo Memorial"
"Denver","Pierre"
"Denver","McCook"
"Denver","Laramie"
"Denver","Hays"
"Denver","Garden City"
"Denver","Farmington"
"Denver","Dodge City"
"Denver","Moab"
"Denver","Alliance"
"Dodge City","Garden City"
"Dodge City","Denver"
"Moab","Vernal"
"Moab","Denver"
"Chadron","Denver"
"Chadron","Alliance"
"Alliance","Denver"
"Alliance","Chadron"
"Salt Lake City","Phoenix"
"Phoenix","Salt Lake City"
"Philadelphia","Minneapolis"
"Philadelphia","Detroit"
"Minneapolis","Philadelphia"
"Minneapolis","Orlando"
"Minneapolis","Washington"
"Minneapolis","Charlotte"
"Orlando","Minneapolis"
"Orlando","Detroit"
"Los Angeles","Philadelphia"
"Fort Lauderdale","Atlanta"
"Detroit","Philadelphia"
"Detroit","Orlando"
"Detroit","Charlotte"
"Washington","Minneapolis"
"Cincinnati","Charlotte"
"Columbus","Atlanta"
"Charlotte","Minneapolis"
"Charlotte","Detroit"
"Charlotte","Cincinnati"
"Atlanta","Fort Lauderdale"
"Atlanta","Columbus"
"Knoxville","Washington"
"Knoxville","Denver"
"Tulsa","Houston"
"Tampa","Washington"
"Tampa","Key West"
"Tallahassee","Fort Lauderdale"
"Syracuse","Washington"
"St. Louis","Houston"
"St. Louis","Newark"
"Sacramento","Washington"
"Salt Lake City","Houston"
"Springfield","Denver"
"San Francisco","San Antonio"
"San Francisco","Reno"
"San Francisco","Redmond-Bend"
"San Francisco","Pittsburgh (pennsylva)"
"San Francisco","Philadelphia"
"San Francisco","Kahului"
"San Francisco","Monterey"
"San Francisco","Medford"
"San Francisco","Lihue"
"San Francisco","Kona"
"San Francisco","Newark"
"San Francisco","Eugene"
"San Francisco","Baltimore"
"San Francisco","Burbank"
"San Francisco","Boise"
"Louisville","Washington"
"Louisville","Denver"
"South Bend","Chicago"
"Santa Barbara","Denver"
"Savannah","Washington"
"San Antonio","Washington"
"San Diego","Houston"
"San Diego","Washington"
"Rochester","Washington"
"Reno","San Francisco"
"Redmond-Bend","San Francisco"
"Palm Springs","Denver"
"Pasco","Denver"
"Pittsburgh (pennsylva)","San Francisco"
"Pittsburgh (pennsylva)","Los Angeles"
"Phoenix","Washington"
"Philadelphia","San Francisco"
"Philadelphia","Newark"
"Philadelphia","Cleveland"
"Portland","North Bend"
"North Bend","Portland"
"Norfolk","Chicago"
"Norfolk","Washington"
"Chicago","South Bend"
"Chicago","Norfolk"
"Chicago","Kahului"
"Chicago","Lincoln"
"Chicago","Greensboro"
"Chicago","Colorado Springs"
"Chicago","Boise"
"Chicago","Appleton"
"Chicago","Albany"
"Chicago","Allentown"
"Oklahoma City","Houston"
"Kahului","San Francisco"
"Montrose CO","Denver"
"Minneapolis","Newark"
"Minneapolis","Cleveland"
"Monterey","San Francisco"
"Moline","Denver"
"Milwaukee","Newark"
"Manchester NH","Washington"
"Medford","San Francisco"
"Memphis","Houston"
"Memphis","Newark"
"Kansas City","Houston"
"Midland","Houston"
"Lincoln","Chicago"
"Lincoln","Denver"
"Little Rock","Houston"
"Little Rock","Denver"
"Lihue","San Francisco"
"Lihue","Denver"
"Los Angeles","Pittsburgh (pennsylva)"
"Los Angeles","Colorado Springs"
"Las Vegas","Washington"
"Las Vegas","Fresno"
"Las Vegas","Cleveland"
"Kona","San Francisco"
"Kona","Denver"
"Jacksonville","Houston"
"Jacksonville","Washington"
"Jackson","Houston"
"Idaho Falls","Denver"
"Houston","Tulsa"
"Houston","St. Louis"
"Houston","Oklahoma City"
"Houston","Minneapolis"
"Houston","Memphis"
"Houston","Kansas City"
"Houston","Midland"
"Houston","Little Rock"
"Houston","Jacksonville"
"Houston","Jackson"
"Houston","Harlingen"
"Houston","Greenville"
"Houston","El Paso"
"Houston","Detroit"
"Houston","Dallas"
"Houston","Cincinnati"
"Houston","Corpus Christi"
"Houston","Charlotte"
"Houston","Nashville"
"Houston","Birmingham"
"Houston","Albuquerque"
"Washington","Knoxville"
"Washington","Tampa"
"Washington","Syracuse"
"Washington","Sacramento"
"Washington","Louisville"
"Washington","Savannah"
"Washington","San Antonio"
"Washington","San Diego"
"Washington","Rochester"
"Washington","Pittsburgh (pennsylva)"
"Washington","Norfolk"
"Washington","Manchester NH"
"Washington","Jacksonville"
"Washington","Huntsville"
"Washington","Greenville"
"Washington","Greensboro"
"Washington","Dayton"
"Washington","Colombia"
"Washington","Buffalo"
"Washington","Burlington"
"Washington","Austin"
"Washington","Albany"
"Huntsville","Washington"
"Huntsville","Denver"
"Harlingen","Houston"
"Gunnison","Denver"
"Greenville","Houston"
"Greenville","Washington"
"Greensboro","Chicago"
"Greensboro","Washington"
"Grand Rapids","Denver"
"Fort Lauderdale","Tallahassee"
"Fresno","San Francisco"
"Fresno","Las Vegas"
"Fresno","Denver"
"Fargo","Denver"
"Key West","Tampa"
"Newark","St. Louis"
"Newark","San Francisco"
"Newark","Philadelphia"
"Newark","Minneapolis"
"Newark","Milwaukee"
"Newark","Memphis"
"Newark","Detroit"
"Newark","Cincinnati"
"Newark","Charlotte"
"Newark","Baltimore"
"Newark","Atlanta"
"Eugene","San Francisco"
"Eugene","Denver"
"El Paso","Houston"
"Vail","Denver"
"Detroit","Newark"
"Durango","Denver"
"Denver","Knoxville"
"Denver","Springfield"
"Denver","Louisville"
"Denver","Santa Barbara"
"Denver","Palm Springs"
"Denver","Pasco"
"Denver","Montrose CO"
"Denver","Moline"
"Denver","Medford"
"Denver","Lincoln"
"Denver","Little Rock"
"Denver","Lihue"
"Denver","Kona"
"Denver","Huntsville"
"Denver","Gunnison"
"Denver","Grand Rapids"
"Denver","Fresno"
"Denver","Fargo"
"Denver","Eugene"
"Denver","Vail"
"Denver","Durango"
"Denver","Cincinnati"
"Denver","Burbank"
"Denver","Aspen"
"Denver","Amarillo"
"Dayton","Washington"
"Dayton","Denver"
"Dallas","Houston"
"Cincinnati","Houston"
"Cincinnati","Newark"
"Cincinnati","Denver"
"Corpus Christi","Houston"
"Colorado Springs","Chicago"
"Colorado Springs","Los Angeles"
"Charlotte","Houston"
"Charlotte","Newark"
"Charlotte","Cleveland"
"Cleveland","Philadelphia"
"Cleveland","Minneapolis"
"Cleveland","Las Vegas"
"Cleveland","Charlotte"
"Cleveland","Baltimore"
"Cleveland","Atlanta"
"Colombia","Washington"
"Baltimore","San Francisco"
"Baltimore","Houston"
"Baltimore","Newark"
"Baltimore","Cleveland"
"Burbank","San Francisco"
"Burbank","Denver"
"Buffalo","Washington"
"Burlington","Washington"
"Boise","San Francisco"
"Boise","Chicago"
"Nashville","Houston"
"Birmingham","Houston"
"Austin","Washington"
"Appleton","Chicago"
"Atlanta","Newark"
"Atlanta","Cleveland"
"Aspen","Denver"
"Amarillo","Denver"
"Albany","Chicago"
"Albany","Washington"
"Albuquerque","Houston"
"Allentown","Chicago"
"Sacramento","Houston"
"Portland","Houston"
"West Palm Beach","Houston"
"Omaha","Houston"
"Indianapolis","Houston"
"Houston","Raleigh-durham"
"Houston","Portland"
"Houston","West Palm Beach"
"Houston","Omaha"
"Houston","Mcallen"
"Houston","Cleveland"
"Houston","Boston"
"Cleveland","Newark"
"Boston","Houston"
"Tampa","Newark"
"Syracuse","New York"
"Fort Myers","Newark"
"Rochester","New York"
"Phoenix","New York"
"West Palm Beach","New York"
"West Palm Beach","Newark"
"Orlando","Newark"
"Orlando","Buffalo"
"Orlando","Boston"
"New York","Syracuse"
"New York","Rochester"
"New York","Phoenix"
"New York","West Palm Beach"
"New York","Buffalo"
"Fort Lauderdale","Newark"
"Newark","Tampa"
"Newark","Fort Myers"
"Newark","West Palm Beach"
"Newark","Orlando"
"Newark","Fort Lauderdale"
"Baltimore","Boston"
"Buffalo","Orlando"
"Buffalo","New York"
"Boston","Orlando"
"Boston","Baltimore"
"Sacramento","Portland"
"Salt Lake City","Portland"
"San Jose","Kahului"
"Portland","Sacramento"
"Portland","Salt Lake City"
"Portland","Minneapolis"
"Portland","Spokane"
"Portland","Boise"
"Portland","Atlanta"
"Kahului","San Jose"
"Kahului","Oakland"
"Oakland","Kahului"
"Oakland","Los Angeles"
"Minneapolis","Seattle"
"Los Angeles","Oakland"
"Los Angeles","Atlanta"
"Honolulu","Seattle"
"Spokane","Portland"
"Dillingham","Anchorage"
"Boise","Portland"
"Atlanta","Portland"
"Anchorage","Dillingham"
"Knoxville","Chicago"
"Tulsa","Dallas-fort Worth"
"Tampa","Miami"
"Tampa","Dallas-fort Worth"
"St. Louis","New York"
"St. Louis","Los Angeles"
"St. Louis","Washington"
"Santa Ana","Portland"
"Sacramento","Seattle"
"San Jose","Seattle"
"San Jose","Chicago"
"Seattle","Sacramento"
"Seattle","San Jose"
"Seattle","Oakland"
"Seattle","Ketchikan"
"San Diego","Portland"
"San Diego","New York"
"Phoenix","Dallas-fort Worth"
"Philadelphia","Dallas-fort Worth"
"Portland","Santa Ana"
"Portland","San Diego"
"Norfolk","New York"
"Chicago","Knoxville"
"Chicago","Lexington KY"
"Chicago","Jacksn Hole"
"Chicago","Huntsville"
"Chicago","White Plains"
"Chicago","Wassau"
"Chicago","Albuquerque"
"Oklahoma City","Dallas-fort Worth"
"Oakland","Seattle"
"Minneapolis","Miami"
"Minneapolis","Dallas-fort Worth"
"Mammoth Lakes","Los Angeles"
"Miami","Tampa"
"Miami","Minneapolis"
"Miami","New York"
"Miami","Houston"
"Miami","Denver"
"Miami","Cleveland"
"Medford","Los Angeles"
"Memphis","Dallas-fort Worth"
"Orlando","Miami"
"New York","St. Louis"
"New York","Charleston"
"Lexington KY","Chicago"
"Los Angeles","St. Louis"
"Los Angeles","Mammoth Lakes"
"Los Angeles","Miami"
"Los Angeles","Medford"
"Los Angeles","Newark"
"Los Angeles","Nashville"
"Las Vegas","Dallas-fort Worth"
"Ketchikan","Seattle"
"Ketchikan","Juneau"
"Juneau","Ketchikan"
"New York","San Diego"
"New York","Norfolk"
"New York","Miami"
"New York","Indianapolis"
"New York","Cincinnati"
"Jacksn Hole","Chicago"
"Indianapolis","New York"
"Houston","Miami"
"Huntsville","Chicago"
"White Plains","Chicago"
"Newark","Los Angeles"
"Newark","Dallas-fort Worth"
"El Paso","Dallas-fort Worth"
"Dallas-fort Worth","Tampa"
"Dallas-fort Worth","Seattle"
"Dallas-fort Worth","Phoenix"
"Dallas-fort Worth","Philadelphia"
"Dallas-fort Worth","Oklahoma City"
"Dallas-fort Worth","Memphis"
"Dallas-fort Worth","Las Vegas"
"Dallas-fort Worth","New York"
"Dallas-fort Worth","Newark"
"Dallas-fort Worth","Detroit"
"Dallas-fort Worth","Cleveland"
"Denver","Miami"
"Washington","St. Louis"
"Wassau","Chicago"
"Cincinnati","New York"
"Charleston","New York"
"Charlotte","Dallas-fort Worth"
"Cleveland","Miami"
"Nashville","Los Angeles"
"Albuquerque","Chicago"
"Minneapolis","Bemidji"
"Bemidji","Minneapolis"
"Valdez","Anchorage"
"Unalakleet","Anchorage"
"Homer","Anchorage"
"Kenai","Anchorage"
"Aniak","Unalakleet"
"Aniak","Anchorage"
"Anchorage","Valdez"
"Anchorage","Unalakleet"
"Anchorage","Homer"
"Anchorage","Kenai"
"Anchorage","Aniak"
"Kaltag","Nulato"
"Galena","Kaltag"
"Fort Yukon","Fairbanks"
"Fairbanks","Galena"
"Du Bois","Franklin"
"Metakatla","Ketchikan"
"Ketchikan","Metakatla"
"Tampa","Phoenix"
"St. Louis","Philadelphia"
"Santa Ana","Phoenix"
"Sacramento","Phoenix"
"San Diego","Phoenix"
